item code;length (mm);width (mm);height (mm);weight (kg);Package material;Orientation constrained;Product;
169;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
170;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
171;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
172;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
173;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
174;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
175;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
176;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
177;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
178;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
179;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
180;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
181;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
182;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
183;2280;1470;990;       1178.400;METAL;;100015425RR;
184;2280;1470;990;       1178.400;METAL;;100015425RR;
185;2280;1470;990;       1125.000;METAL;;8201254199R;
186;2280;1470;990;       1125.000;METAL;;8201254199R;
187;2280;1470;990;       1125.000;METAL;;8201254199R;
188;2280;1470;990;       1125.000;METAL;;8201254199R;
189;2280;1470;990;       1125.000;METAL;;8201254199R;
190;2280;1470;990;       1125.000;METAL;;8201254199R;
191;2280;1470;990;       1125.000;METAL;;8201254199R;
192;2280;1470;990;       1125.000;METAL;;8201254199R;
193;2280;1470;990;       1125.000;METAL;;8201254199R;
194;2280;1470;990;       1125.000;METAL;;8201254199R;
195;2280;1470;990;       1125.000;METAL;;8201254199R;
196;2280;1470;990;       1125.000;METAL;;8201254199R;
197;2280;1470;990;       1125.000;METAL;;8201254199R;
198;2280;1470;990;       1125.000;METAL;;8201254199R;
199;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
200;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
201;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
202;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
203;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
204;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
205;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
206;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
207;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
208;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
209;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
210;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
211;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
212;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
213;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
214;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
215;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
216;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
217;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
218;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
219;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
220;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
221;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
222;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
223;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
224;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
225;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
226;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
227;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
228;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
229;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
230;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
231;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
232;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
233;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
234;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
235;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
236;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
237;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
238;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
239;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
240;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
241;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
242;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
243;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
244;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
245;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
246;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
247;1140;950;850;         80.500;CARDBOARD;;8200343476R;
248;1140;950;850;         80.500;CARDBOARD;;8200343476R;
249;1140;950;850;         80.500;CARDBOARD;;8200343476R;
250;1140;950;850;         80.500;CARDBOARD;;8200343476R;
251;1140;950;850;         80.500;CARDBOARD;;8200343476R;
252;1140;950;850;         80.500;CARDBOARD;;8200343476R;
253;1140;950;850;         80.500;CARDBOARD;;8200343476R;
254;1140;950;850;         80.500;CARDBOARD;;8200343476R;
255;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
256;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
257;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
258;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
259;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
260;1450;1140;640;        159.420;CARDBOARD;;488102002RR;
261;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
262;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
263;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
264;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
265;1450;1140;850;        203.000;CARDBOARD;;488104415RR;
266;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
267;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
268;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
269;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
270;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
271;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
272;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
273;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
274;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
275;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
276;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
277;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
278;1450;1140;850;         87.550;CARDBOARD;;7700410279R;
279;1450;1140;640;         54.120;CARDBOARD;;7700410608R;
280;1450;1140;640;         48.390;CARDBOARD;;7700410609R;
281;1450;1140;640;         48.390;CARDBOARD;;7700410609R;
282;1450;1140;640;         48.390;CARDBOARD;;7700410609R;
283;1450;1140;850;        344.920;CARDBOARD;;8200213856R;
284;1450;1140;850;        546.550;CARDBOARD;;8200840770R;
285;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
286;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
287;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
288;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
289;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
290;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
291;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
292;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
293;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
294;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
295;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
296;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
297;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
298;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
299;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
300;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
301;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
302;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
303;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
304;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
305;1140;950;640;         77.620;CARDBOARD;;287800376RR;
306;1140;950;640;         77.620;CARDBOARD;;287800376RR;
307;1140;950;640;         91.300;CARDBOARD;;306107623RR;
308;1140;950;640;         40.500;CARDBOARD;;308517047RR;
309;1140;950;850;        789.140;CARDBOARD;;402020009RR;
310;1140;950;850;        789.140;CARDBOARD;;402020009RR;
311;1140;950;850;        441.000;CARDBOARD;;476604621RR;
312;1140;950;850;        104.500;CARDBOARD;;479000527RR;
313;1140;950;850;        105.500;CARDBOARD;;479101292RR;
314;1140;950;850;        156.500;CARDBOARD;;479109155RR;
315;1140;950;850;        602.420;CARDBOARD;;544032307RR;
316;1140;950;850;        602.420;CARDBOARD;;544032307RR;
317;1140;950;640;        319.150;CARDBOARD;;550209436RR;
318;1140;950;640;        319.150;CARDBOARD;;550209436RR;
319;1140;950;640;        716.500;CARDBOARD;;6040175614R;
320;1140;950;640;        355.000;CARDBOARD;;6040192492R;
321;1140;950;640;        355.000;CARDBOARD;;6040192503R;
322;1140;950;850;        158.340;CARDBOARD;;769230024RR;
323;1140;950;850;        158.340;CARDBOARD;;769230024RR;
324;1140;950;850;        158.340;CARDBOARD;;769230024RR;
325;1140;950;850;        158.340;CARDBOARD;;769246051RR;
326;1140;950;850;        158.340;CARDBOARD;;769246051RR;
327;1140;950;850;        158.000;CARDBOARD;;7700430825R;
328;1140;475;640;        290.000;CARDBOARD;;7700836697R;
329;1140;950;850;         95.000;CARDBOARD;;7701695154R;
330;1140;950;850;         95.000;CARDBOARD;;7701695154R;
331;1140;950;850;         95.000;CARDBOARD;;7701695154R;
332;1140;950;850;        157.080;CARDBOARD;;808321867RR;
333;1140;950;850;        157.080;CARDBOARD;;808321867RR;
334;1140;950;850;        157.080;CARDBOARD;;808321867RR;
335;1140;950;850;        157.080;CARDBOARD;;808321867RR;
336;1140;950;850;        157.080;CARDBOARD;;808321867RR;
337;1140;950;850;        157.080;CARDBOARD;;808321867RR;
338;1140;950;850;        204.500;CARDBOARD;;8200033904R;
339;1140;475;640;        385.700;CARDBOARD;;8200035782R;
340;1140;950;640;         29.330;CARDBOARD;;8200071119R;
341;1140;950;850;         80.500;CARDBOARD;;8200343476R;
342;1140;950;850;         80.500;CARDBOARD;;8200343476R;
343;1140;950;850;         80.500;CARDBOARD;;8200343476R;
344;1140;950;850;         80.500;CARDBOARD;;8200343476R;
345;1140;950;850;         80.500;CARDBOARD;;8200343476R;
346;1140;950;850;         80.500;CARDBOARD;;8200343476R;
347;1140;950;850;         80.500;CARDBOARD;;8200343476R;
348;1140;950;850;         80.500;CARDBOARD;;8200343476R;
349;1140;950;850;         80.500;CARDBOARD;;8200343476R;
350;1140;950;850;         80.500;CARDBOARD;;8200343476R;
351;1140;950;850;         80.500;CARDBOARD;;8200343476R;
352;1140;950;850;         80.500;CARDBOARD;;8200343476R;
353;1140;950;850;         71.300;CARDBOARD;;8200686355R;
354;1140;950;850;        109.700;CARDBOARD;;8200732310R;
355;1140;950;850;        109.700;CARDBOARD;;8200732310R;
356;1140;950;850;        109.700;CARDBOARD;;8200732310R;
357;1140;950;850;        109.700;CARDBOARD;;8200732310R;
358;1140;950;640;        122.350;CARDBOARD;;8200734582R;
359;1140;950;640;        122.350;CARDBOARD;;8200734582R;
360;1140;950;640;        122.350;CARDBOARD;;8200734582R;
361;1140;950;740;        417.000;CARDBOARD;;8200810621R;
362;1140;950;850;        386.000;CARDBOARD;;8200846463R;
363;1140;950;850;        386.000;CARDBOARD;;8200846463R;
364;1140;950;850;         55.700;CARDBOARD;;8200896012R;
365;1140;950;850;         55.700;CARDBOARD;;8200896012R;
366;1140;950;850;         55.700;CARDBOARD;;8200896012R;
367;1140;950;850;         55.700;CARDBOARD;;8200896012R;
368;1140;950;850;         55.700;CARDBOARD;;8200896012R;
369;1140;950;850;         55.700;CARDBOARD;;8200896012R;
370;1140;950;850;         55.700;CARDBOARD;;8200896012R;
371;1140;950;850;         55.700;CARDBOARD;;8200896012R;
372;1140;950;850;         55.700;CARDBOARD;;8200896012R;
373;1140;950;850;         55.700;CARDBOARD;;8200896012R;
374;1140;950;850;        164.660;CARDBOARD;;908300023RR;
375;1140;950;850;        164.660;CARDBOARD;;908300023RR;
376;1140;950;850;        164.660;CARDBOARD;;908300023RR;
377;1140;950;850;        654.500;CARDBOARD;;926000097RR;
378;1140;950;850;        654.500;CARDBOARD;;926000097RR;
379;2280;1470;990;       1178.400;METAL;;100015425RR;
380;2280;1470;990;       1178.400;METAL;;100015425RR;
381;2280;1470;990;       1178.400;METAL;;100015425RR;
382;2280;1470;990;       1178.400;METAL;;100015425RR;
383;2280;1470;990;       1178.400;METAL;;100015425RR;
384;2280;1470;990;       1178.400;METAL;;100015425RR;
385;2280;1470;990;       1125.000;METAL;;8201254199R;
386;2280;1470;990;       1125.000;METAL;;8201254199R;
387;2280;1470;990;       1125.000;METAL;;8201254199R;
388;2280;1470;990;       1125.000;METAL;;8201254199R;
389;2280;1470;990;       1125.000;METAL;;8201254199R;
390;2280;1470;990;       1125.000;METAL;;8201254199R;
391;2280;1470;990;       1125.000;METAL;;8201254199R;
392;2280;1470;990;       1125.000;METAL;;8201254199R;
393;2280;1470;990;       1125.000;METAL;;8201254199R;
394;2280;1470;990;       1125.000;METAL;;8201254199R;
395;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
396;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
397;1450;1140;850;         67.840;CARDBOARD;;165556262RR;
398;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
399;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
400;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
401;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
402;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
403;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
404;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
405;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
406;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
407;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
408;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
409;1450;1140;850;        196.000;CARDBOARD;;490013367RR;
410;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
411;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
412;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
413;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
414;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
415;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
416;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
417;1450;1140;850;        196.000;CARDBOARD;;490019274RR;
418;1450;1140;640;        709.110;CARDBOARD;;8200047009R;
419;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
420;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
421;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
422;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
423;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
424;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
425;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
426;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
427;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
428;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
429;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
430;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
431;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
432;1450;1140;640;        486.900;CARDBOARD;;8200550980R;
433;1450;1140;850;        175.000;CARDBOARD;;8200760429R;
434;1450;1140;850;        175.000;CARDBOARD;;8200760429R;
435;1450;1140;850;        124.000;CARDBOARD;;8200976710R;
436;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
437;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
438;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
439;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
440;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
441;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
442;1450;1140;640;        415.500;CARDBOARD;;8201141294R;
443;1140;475;640;        145.400;CARDBOARD;;206214782RR;
444;1140;950;850;        721.720;CARDBOARD;;391002983RR;
445;1140;950;850;        173.780;CARDBOARD;;472105674RR;
446;1140;950;850;        173.780;CARDBOARD;;472105674RR;
447;1140;950;850;        173.780;CARDBOARD;;472105674RR;
448;1140;950;850;        173.780;CARDBOARD;;472105674RR;
449;1140;950;850;        173.780;CARDBOARD;;472105674RR;
450;1140;950;850;        173.780;CARDBOARD;;472105674RR;
451;1140;950;850;        173.780;CARDBOARD;;472105674RR;
452;1140;950;850;        173.780;CARDBOARD;;472105674RR;
453;1140;950;850;        173.780;CARDBOARD;;472105674RR;
454;1140;950;850;        173.780;CARDBOARD;;472105674RR;
455;1140;950;850;        441.000;CARDBOARD;;476604621RR;
456;1140;950;640;        319.150;CARDBOARD;;550209436RR;
457;1140;950;640;        319.150;CARDBOARD;;550209436RR;
458;1140;950;850;        158.340;CARDBOARD;;769246051RR;
459;1140;950;850;         52.210;CARDBOARD;;7700435039R;
460;1140;950;850;        157.080;CARDBOARD;;808321867RR;
461;1140;950;850;        157.080;CARDBOARD;;808321867RR;
462;1140;475;640;        458.160;CARDBOARD;;8200061467R;
463;1140;475;640;        459.500;CARDBOARD;;8200073180R;
464;1140;950;850;        428.060;CARDBOARD;;8200204600R;
465;1140;950;850;         80.500;CARDBOARD;;8200343476R;
466;1140;950;850;         80.500;CARDBOARD;;8200343476R;
